scenario,model,seed,count,p50_m,p95_m,p99_m,max_m,outside300_fraction,period300_amplitude,a4_raw,mean_proposals
grid-imbalanced-500,V,pooled,4500,144.7251793171434,276.5483820526395,327.9509280610882,425.7730470777452,0.026222222222222223,0.006014844241473116,0.02776829620119389,1.0
grid-imbalanced-500,V300,2026090701,900,102.9138060037278,192.07847741922117,221.46221758387372,254.96619458943118,0.0,0.18505065320071773,0.02878242865004691,1.93
grid-imbalanced-500,V300,2026090702,900,100.02205282624307,193.74875128601747,225.91293917076024,245.7626210931702,0.0,0.18261506810191286,0.022347657442765703,1.9222222222222223
grid-imbalanced-500,V300,2026090703,900,103.1974067914618,192.1416433067439,225.99192564757743,258.9228706215714,0.0,0.17527051400533605,0.0037143426710092796,1.948888888888889
grid-imbalanced-500,V300,2026090704,900,101.05736588031489,187.51405458754277,228.82391840077435,263.1286230730885,0.0,0.19994575373716372,0.023591836364663478,1.951111111111111
grid-imbalanced-500,V300,2026090705,900,103.20326697499209,190.4605199942249,223.1636304057538,245.94999335799906,0.0,0.18331287394579457,0.04121650395544626,2.022222222222222
grid-imbalanced-500,V300,pooled,4500,102.1845735627009,191.8448389733949,225.13636177322908,263.1286230730885,0.0,0.18429195292031025,0.017623453866613802,1.954888888888889
grid-imbalanced-5000,D,2026090701,9000,97.87477865711574,188.24175186405927,221.84357616159141,272.9459790962821,0.0,0.21427581752535824,0.008798153289745236,1.0
grid-imbalanced-5000,D,2026090702,9000,97.65172872791368,189.80418168171767,225.3098332612481,267.3214886248905,0.0,0.21836303433044624,0.005113525303624089,1.0
grid-imbalanced-5000,D,2026090703,9000,98.85066248174849,188.47627146677226,223.26008586953887,280.6414112470073,0.0,0.21572164315633036,0.0028572199566957576,1.0
grid-imbalanced-5000,D,2026090704,9000,97.39644639736133,188.68457333988243,223.0674314331558,277.8130158433099,0.0,0.21694483829466854,0.0028568017759996317,1.0
grid-imbalanced-5000,D,2026090705,9000,98.0249445213247,190.53010033651503,224.88770020773825,287.11170479469905,0.0,0.21933577191053025,0.005509840301811481,1.0
grid-imbalanced-5000,D,pooled,45000,97.98530367697275,189.23591597155487,223.94144900453222,287.11170479469905,0.0,0.2168806022464372,0.003567338120276672,1.0
grid-imbalanced-5000,V,2026090701,9000,145.33010634555592,276.71730533960607,326.6423933557625,390.49059244819756,0.026222222222222223,0.01408696686688081,0.013749421355926291,1.0
grid-imbalanced-5000,V,2026090702,9000,145.39258665819656,279.9112682679192,329.295602747261,426.52263228451676,0.028,0.005095601293727756,0.024943376348003986,1.0
grid-imbalanced-5000,V,2026090703,9000,146.45898947124385,276.1368621065598,330.1497939389771,442.0581371214429,0.026333333333333334,0.010483385693084749,0.03544642993492856,1.0
grid-imbalanced-5000,V,2026090704,9000,145.61941433268498,276.42862210734967,328.20392245050505,399.98870621467586,0.025222222222222222,0.007009718909221192,0.030270603725053757,1.0
grid-imbalanced-5000,V,2026090705,9000,146.30057745605126,276.63293176455886,331.5287935845606,419.2228418886246,0.02677777777777778,0.008023337783274886,0.012889340304732676,1.0
grid-imbalanced-5000,V,pooled,45000,145.9069866655858,277.0068193496807,329.1797633081888,442.0581371214429,0.02651111111111111,0.00474060456728665,0.022476496345758153,1.0
grid-imbalanced-5000,V300,2026090701,9000,102.3460111036431,194.5983358379572,227.68166474330877,277.83963352253386,0.0,0.18020048745485417,0.008916022618192892,1.962
grid-imbalanced-5000,V300,2026090702,9000,102.20909196117906,193.43830430972577,223.09957954098365,276.57904974145697,0.0,0.17672836622967247,0.013507638941948917,1.948
grid-imbalanced-5000,V300,2026090703,9000,102.10658992085955,193.70185608380353,227.26054529158807,283.2484835782907,0.0,0.17995104529232656,0.015313448458207278,1.9594444444444445
grid-imbalanced-5000,V300,2026090704,9000,101.68288858568305,192.4798315841255,226.8321150588091,277.48763119581355,0.0,0.1897994548243156,0.00945921199148787,1.9824444444444445
grid-imbalanced-5000,V300,2026090705,9000,102.78358323117895,192.86852812839282,225.46372316858705,284.32953996125184,0.0,0.18359196395289984,0.00228841243527761,1.9918888888888888
grid-imbalanced-5000,V300,pooled,45000,102.2441464812714,193.42365269652578,226.42407165370005,284.32953996125184,0.0,0.18189533205864614,0.005712198604239882,1.9687555555555556
