protocol_version,phase,model_id,parameter_set_id,scenario_id,sample_seed,requested_count,generated_count,outer_count,inner_count,outer_area_m2,inner_area_m2,outer_share,inner_share,raw_density_ratio,observation_status,interpretation
E001-v2,review,D,d-s120-r300,review-ad-grid-equal-n5000-per-center,2026090601,9000,9000,1,25,53721.23437638546,48066.36759992383,1.1111111111111112E-4,0.002777777777777778,0.035789473684210524,inner-observed,descriptive-only
E001-v2,review,D,d-s120-r300,review-ad-grid-equal-n5000-per-center,2026090602,9000,9000,0,20,53721.23437638546,48066.36759992383,0.0,0.0022222222222222222,0.0,inner-observed,descriptive-only
E001-v2,review,D,d-s120-r300,review-ad-grid-equal-n5000-per-center,2026090603,9000,9000,1,20,53721.23437638546,48066.36759992383,1.1111111111111112E-4,0.0022222222222222222,0.044736842105263165,inner-observed,descriptive-only
E001-v2,review,D,d-s120-r300,review-ad-grid-equal-n5000-per-center,2026090604,9000,9000,1,24,53721.23437638546,48066.36759992383,1.1111111111111112E-4,0.0026666666666666666,0.03728070175438596,inner-observed,descriptive-only
E001-v2,review,D,d-s120-r300,review-ad-grid-equal-n5000-per-center,2026090605,9000,9000,3,34,53721.23437638546,48066.36759992383,3.333333333333333E-4,0.003777777777777778,0.07894736842105263,inner-observed,descriptive-only
E001-v2,review,D,d-s120-r300,review-ad-single-n500,,500,500,0,3,53721.23437638546,48066.36759992383,0.0,0.006,0.0,inner-observed,descriptive-only
E001-v2,review,D,d-s120-r300,review-ad-single-n500,2026090601,100,100,0,1,53721.23437638546,48066.36759992383,0.0,0.01,0.0,inner-observed,descriptive-only
E001-v2,review,D,d-s120-r300,review-ad-single-n500,2026090602,100,100,0,0,53721.23437638546,48066.36759992383,0.0,0.0,,empty-bands,descriptive-only
E001-v2,review,D,d-s120-r300,review-ad-single-n500,2026090603,100,100,0,2,53721.23437638546,48066.36759992383,0.0,0.02,0.0,inner-observed,descriptive-only
E001-v2,review,D,d-s120-r300,review-ad-single-n500,2026090604,100,100,0,0,53721.23437638546,48066.36759992383,0.0,0.0,,empty-bands,descriptive-only
E001-v2,review,D,d-s120-r300,review-ad-single-n500,2026090605,100,100,0,0,53721.23437638546,48066.36759992383,0.0,0.0,,empty-bands,descriptive-only
E001-v2,review,D,d-s120-r300,review-ad-single-n5000,,5000,5000,0,13,53721.23437638546,48066.36759992383,0.0,0.0026,0.0,inner-observed,descriptive-only
E001-v2,review,D,d-s120-r300,review-ad-single-n5000,2026090601,1000,1000,0,4,53721.23437638546,48066.36759992383,0.0,0.004,0.0,inner-observed,descriptive-only
E001-v2,review,D,d-s120-r300,review-ad-single-n5000,2026090602,1000,1000,0,3,53721.23437638546,48066.36759992383,0.0,0.003,0.0,inner-observed,descriptive-only
E001-v2,review,D,d-s120-r300,review-ad-single-n5000,2026090603,1000,1000,0,2,53721.23437638546,48066.36759992383,0.0,0.002,0.0,inner-observed,descriptive-only
E001-v2,review,D,d-s120-r300,review-ad-single-n5000,2026090604,1000,1000,0,3,53721.23437638546,48066.36759992383,0.0,0.003,0.0,inner-observed,descriptive-only
