protocol_version,phase,model_id,parameter_set_id,scenario_id,sample_seed,metric_id,statistic,value,unit,status
E001-v1,tuning,D,d-s100-r300,tuning-grid-imbalanced-n4500,2026090301,a4,value,0.03642801152387926,ratio,valid
E001-v1,tuning,D,d-s100-r300,tuning-grid-imbalanced-n4500,2026090301,edgeRatio30,value,0.17894736842105266,ratio,valid
E001-v1,tuning,D,d-s100-r300,tuning-grid-imbalanced-n4500,2026090301,radius,max,261.72838700137453,m,valid
E001-v1,tuning,D,d-s100-r300,tuning-grid-imbalanced-n4500,2026090301,radius,p50,91.04190306594198,m,valid
E001-v1,tuning,D,d-s100-r300,tuning-grid-imbalanced-n4500,2026090301,radius,p95,174.23108163088315,m,valid
E001-v1,tuning,D,d-s100-r300,tuning-grid-imbalanced-n4500,2026090301,radius,p99,212.68304604277114,m,valid
E001-v1,tuning,D,d-s100-r300,tuning-grid-imbalanced-n4500,2026090301,radius,violations,0.0,count,valid
E001-v1,tuning,D,d-s100-r300,tuning-grid-imbalanced-n4500,2026090301,seam300,value,0.2975140056022409,ratio,valid
E001-v1,tuning,D,d-s100-r300,tuning-grid-imbalanced-n4500,2026090302,a4,value,0.0,ratio,valid
E001-v1,tuning,D,d-s100-r300,tuning-grid-imbalanced-n4500,2026090302,edgeRatio30,value,1.4912280701754386,ratio,valid
E001-v1,tuning,D,d-s100-r300,tuning-grid-imbalanced-n4500,2026090302,radius,max,275.2495766933244,m,valid
E001-v1,tuning,D,d-s100-r300,tuning-grid-imbalanced-n4500,2026090302,radius,p50,90.50961411605124,m,valid
E001-v1,tuning,D,d-s100-r300,tuning-grid-imbalanced-n4500,2026090302,radius,p95,176.71079898107465,m,valid
E001-v1,tuning,D,d-s100-r300,tuning-grid-imbalanced-n4500,2026090302,radius,p99,212.8425205428952,m,valid
E001-v1,tuning,D,d-s100-r300,tuning-grid-imbalanced-n4500,2026090302,radius,violations,0.0,count,valid
E001-v1,tuning,D,d-s100-r300,tuning-grid-imbalanced-n4500,2026090302,seam300,value,0.2011363636363636,ratio,valid
E001-v1,tuning,D,d-s100-r300,tuning-grid-imbalanced-n4500,2026090303,a4,value,0.0,ratio,valid
E001-v1,tuning,D,d-s100-r300,tuning-grid-imbalanced-n4500,2026090303,edgeRatio30,value,0.12781954887218047,ratio,valid
E001-v1,tuning,D,d-s100-r300,tuning-grid-imbalanced-n4500,2026090303,radius,max,268.4482892124563,m,valid
E001-v1,tuning,D,d-s100-r300,tuning-grid-imbalanced-n4500,2026090303,radius,p50,87.42059430425822,m,valid
E001-v1,tuning,D,d-s100-r300,tuning-grid-imbalanced-n4500,2026090303,radius,p95,172.21765287110355,m,valid
